"","TLEVISA","WALMEX","SANMEX","PINFRA","PENOLES","ICA","OHLMEX","MEXCHEM","LIVEPOL","LALA","LAB","KOFL","KIMBER","IENOVA","ICH","GRUMA","GMEXICO","GFREGIO","GFNORTE","GFINBUR","GENTERA","GCARSO","FEMSA","GAP","CEMEX","ELEKTRA","BIMBO","ASUR","AMX","ALSEA","AC","ALFA"
"1",64.42,38.52,36.83,93.5,555.33,41.69,38.03,63.83,147.93,29.74,29.74,194.42,39.03,39.62,103.01,56.47,49.27,60.5,95.23,33.5,21.11,63.09,132.95,65.39,13.43,491.49,36.6,165.38,11.94,32.75,90.79,29.83
"2",64.51,38.73,36.9,96.05,558.58,42.05,38.38,64.19,148.76,29.98,29.98,194.64,39.88,38.66,102.71,57.48,48.17,60.5,95.91,34.48,21.77,63.54,132.58,65.26,13.35,496.82,38.01,166.69,12.2,32.6,90.19,29.06
"3",64.92,39.4,37.17,97.2,566.91,41.86,34.86,66.46,149.26,29.93,29.93,199.96,40.28,39.33,105.1,55.98,48.91,61.39,98.85,34.55,22.2,66.94,138.46,68.87,13.45,491.49,38.59,169.84,12.43,32.65,91.33,29.67
"4",65.55,40.4,37.25,99.83,586.42,41.21,34.25,66.25,152.12,30.21,30.21,199.99,42.3,39.34,107.53,54.61,49.89,64.16,98.68,36.03,22.78,68.85,138.97,68.51,13.36,486.65,39.49,167.82,12.43,34.35,92.55,30.16
"5",65.43,40.14,38.24,99.1,590.11,40.43,34.25,65.19,154.43,30.28,30.28,200.03,41.86,39.02,105.7,53.84,49.18,65.46,97.02,36.5,22.54,66.96,141.6,70.51,13.48,486.94,39.22,171.05,12.29,35.6,93.75,29.86
"6",67.35,40.09,39.09,101.95,583.96,40.71,34.78,64.96,155.34,30.61,30.61,208.02,41.9,39.61,105.71,53.86,48.44,68.77,96.35,37.16,23.38,67.38,146.53,72.07,13.4,492.19,39.16,170.64,12.1,35.67,95.72,30.25
"7",66.27,40.18,38.37,102.22,579.35,39.72,34.64,64.98,155.13,29.88,29.88,206.88,40.78,39.81,104.17,53.76,47.58,68.6,94.38,36.85,23.35,68.99,146.32,73.57,12.92,495.35,39.31,171.54,11.88,37.43,97.61,30.78
"8",66.36,40.2,38.19,103.98,558.31,39.52,34.69,64.79,154.98,29.93,29.93,207.97,39.47,39.81,105.06,53.61,47.85,68.8,95.43,35.47,23.03,68.49,145.44,74.16,12.79,489.97,38.93,172.01,11.84,37.25,98.44,30.68
"9",66.11,39.49,37.43,104.7,557.7,39.67,35.36,63.94,152.71,30,30,205.88,40.17,41.55,103.76,53.49,48.16,70.96,91.4,34.34,22.74,67.82,143.24,75.12,13.46,488.78,38.89,170.83,11.71,37.11,100.13,30.56
"10",65.92,39,37.49,106.04,564.99,39.88,35.19,62.99,152.96,30.39,30.39,206.85,41.28,42.49,104.89,53.07,48.46,68.98,92.24,35.04,22.57,67.18,142.6,73.34,13.67,486.65,39.77,170.83,11.92,37.49,99.51,30.34
"11",66.27,39.03,38.36,107.92,573.43,39.71,35.18,61.86,157.11,30.03,30.03,209.94,40.97,42.59,103.72,54.3,49.8,68.07,94.03,36.8,23.3,68.61,147.58,73.41,13.56,497.74,40.18,167.5,12.14,37.5,99.13,30.38
"12",67.65,39.18,39.68,107.76,571.45,40.37,35.45,60.32,163.51,29.77,29.77,214.1,41.8,44.16,102.73,54.96,50.36,69.96,96.34,36.36,23.92,70.43,151.23,73.34,13.4,513.31,40.53,165.95,12.2,37.5,99,30.95
"13",67.64,39.48,39.4,109.33,565.62,40.73,35.63,60.83,164.15,30.44,30.44,210.95,41.49,44.28,103.83,53.49,50.42,69.75,96.74,37.12,24.1,69.8,150.3,73.05,13.36,517.75,40.48,166.4,12.21,38.44,98.94,30.98
"14",66.41,39.45,38.61,108.68,553.4,39.93,35.89,62.1,156.25,30.02,30.02,211,41.05,43.85,103.1,53.51,49.12,69.77,96.44,36.28,23.37,68.88,151.11,72.45,13.17,510.26,38.92,165.09,12.07,37.81,98.98,30.97
"15",64.74,38.79,38.08,106.02,484.05,37.49,35.68,60.73,155.7,28.54,28.54,211.04,41.75,43.47,101.11,53.36,45.7,71.29,94.33,35.21,21.46,68.22,151.72,72.29,12.58,515.34,38.55,169.05,11.84,37.5,97.82,30.29
"16",63.88,39.04,37.9,108.56,485.54,37.78,36.45,61.36,158.04,28.74,28.74,214.31,41.48,43.22,102.42,52.93,45.65,72.46,95.32,36.5,22.22,68.54,150.44,69.53,12.74,519.43,39.67,171.75,11.96,37.23,99.76,30.47
"17",61.98,39.33,38.23,107.14,489.94,36.91,35.51,60.64,159.68,29.02,29.02,214.75,41.09,43.47,103.98,53.04,43.33,73.53,94.07,36.02,21.56,68.57,149.91,66.8,12.53,499.89,40.31,165.36,11.62,37.01,99.91,29.88
"18",62.23,38.85,38.2,108,481.21,36.75,35.43,59.1,160.41,29.34,29.34,216.58,42.94,43.52,104.58,52.59,41.51,72.25,92.06,36.1,21.82,69.13,149.86,66.01,12.15,496.77,40.1,163.14,11.86,37,99.07,29.41
